asset_name,source_uri,source_name,edge_pcode,edge_name,target_uri,target_name
201907_co.dex.pdf,http://www.themathcompany.com/cognition/CO.DEX,CO.DEX,P31,instance of,http://www.themathcompany.com/cognition/On_-_premise,On - premise
201907_co.dex.pdf,http://www.themathcompany.com/cognition/TheMathCompany,TheMathCompany,P1056,product or material produced,http://www.themathcompany.com/cognition/TheMathMarket,TheMathMarket
201907_co.dex.pdf,http://www.themathcompany.com/cognition/TheMathMarket,TheMathMarket,P178,developer,http://www.themathcompany.com/cognition/TheMathCompany,TheMathCompany
201907_co.dex.pdf,http://www.themathcompany.com/cognition/Co.dex_DS,Co.dex DS,P366,use,http://www.themathcompany.com/cognition/TheMathMarket,TheMathMarket
201907_co.dex.pdf,http://www.themathcompany.com/cognition/CO.DEX,CO.DEX,P366,use,http://www.themathcompany.com/cognition/automates,automates
201907_co.dex.pdf,http://www.themathcompany.com/cognition/TheMathMarket,TheMathMarket,P361,part of,http://www.themathcompany.com/cognition/Co.dex,Co.dex
201907_co.dex.pdf,http://www.themathcompany.com/cognition/Co.dex,Co.dex,P527,has part,http://www.themathcompany.com/cognition/TheMathMarket,TheMathMarket
201907_co.dex.pdf,http://www.themathcompany.com/cognition/CO.DEX,CO.DEX,P366,use,http://www.themathcompany.com/cognition/On_-_premise,On - premise
201907_co.dex.pdf,http://www.themathcompany.com/cognition/CO.DEX,CO.DEX,P178,developer,http://www.themathcompany.com/cognition/TheMathMarket,TheMathMarket
201907_co.dex.pdf,http://www.themathcompany.com/cognition/TheMathMarket,TheMathMarket,P1056,product or material produced,http://www.themathcompany.com/cognition/CO.DEX,CO.DEX
201907_co.dex.pdf,http://www.themathcompany.com/cognition/CO.DEX,CO.DEX,P366,use,http://www.themathcompany.com/cognition/TheMathMarket,TheMathMarket
201907_co.dex.pdf,http://www.themathcompany.com/cognition/Srivatsathemath,Srivatsathemath,pcode,sibling,http://www.themathcompany.com/cognition/Shridharthemath,Shridharthemath
201907_co.dex.pdf,http://www.themathcompany.com/cognition/Shridharthemath,Shridharthemath,pcode,sibling,http://www.themathcompany.com/cognition/Srivatsathemath,Srivatsathemath
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/requiredtriggered,requiredtriggered,P1542,has effect,http://www.themathcompany.com/cognition/required_logicfunction,required logicfunction
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/Create_a_new_database,Create a new database,P2283,uses,http://www.themathcompany.com/cognition/Database_Name,Database Name
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/Database_Name,Database Name,P1535,used by,http://www.themathcompany.com/cognition/Create_a_new_database,Create a new database
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/Table_Name,Table Name,P361,part of,http://www.themathcompany.com/cognition/Database_Name,Database Name
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/create_partitions,create partitions,P527,has part,http://www.themathcompany.com/cognition/Create_Table,Create Table
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/Create_Table,Create Table,P361,part of,http://www.themathcompany.com/cognition/create_partitions,create partitions
201908_nosql.pdf,http://www.themathcompany.com/cognition/B.Fit,B.Fit,P1056,product or material produced,http://www.themathcompany.com/cognition/fitness_accessories,fitness accessories
201908_nosql.pdf,http://www.themathcompany.com/cognition/fitness_accessories,fitness accessories,P176,manufacturer,http://www.themathcompany.com/cognition/B.Fit,B.Fit
201908_nosql.pdf,http://www.themathcompany.com/cognition/B.Fit,B.Fit,pcode,product or material,http://www.themathcompany.com/cognition/fitness_accessories,fitness accessories
201908_nosql.pdf,http://www.themathcompany.com/cognition/ChemCo,ChemCo,P31,instance of,http://www.themathcompany.com/cognition/large_global_company,large global company
201908_nosql.pdf,http://www.themathcompany.com/cognition/ChemCo,ChemCo,pcode,owner of,http://www.themathcompany.com/cognition/ChemCo_steps,ChemCo steps
201908_nosql.pdf,http://www.themathcompany.com/cognition/ChemCo_steps,ChemCo steps,pcode,owned by,http://www.themathcompany.com/cognition/ChemCo,ChemCo
201908_nosql.pdf,http://www.themathcompany.com/cognition/group_task,group task,P279,subclass of,http://www.themathcompany.com/cognition/mapped_out,mapped out
201908_nosql.pdf,http://www.themathcompany.com/cognition/big_data_challenge,big data challenge,P527,has part,http://www.themathcompany.com/cognition/big_data_challenge_best,big data challenge best
201908_nosql.pdf,http://www.themathcompany.com/cognition/big_data_challenge_best,big data challenge best,P279,subclass of,http://www.themathcompany.com/cognition/big_data_challenge,big data challenge
