asset_name,source_uri,source_name,edge_pcode,edge_name,target_uri,target_name
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q8513,database,P366,use,http://www.themathcompany.com/cognition/store_data,store data
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q43967068,AutoML,P1535,used by,http://www.themathcompany.com/cognition/CO.DEX,CO.DEX
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q43967068,AutoML,P366,use,http://www.themathcompany.com/cognition/CO.DEX,CO.DEX
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q400708,SQL server,P527,has part,http://www.themathcompany.com/cognition/SQL_client,SQL client
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q235150,VM,P366,use,http://www.themathcompany.com/cognition/Installing,Installing
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q235150,VM,P366,use,http://www.themathcompany.com/cognition/Maintaining_the_VM,Maintaining the VM
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q5227298,Data format,P366,use,http://www.themathcompany.com/cognition/Bulk_add_Columns,Bulk add Columns
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q32043,Add,P361,part of,http://www.themathcompany.com/cognition/Bulk_add_Columns,Bulk add Columns
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q298708,partitions,P1535,used by,http://www.themathcompany.com/cognition/Bulk_add_Columns,Bulk add Columns
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q212108,authentication,P2283,uses,http://www.themathcompany.com/cognition/API_Gateway,API Gateway
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q37122,Athena,P1056,product or material produced,http://www.themathcompany.com/cognition/analytical_products,analytical products
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q37122,Athena,P31,instance of,http://www.themathcompany.com/cognition/serverless_paradigm,serverless paradigm
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q37122,Athena,P366,use,http://www.themathcompany.com/cognition/serverless_paradigm,serverless paradigm
201908_nosql.pdf,http://www.wikidata.org/wiki/Q2308809,coincidental,P279,subclass of,http://www.themathcompany.com/cognition/actual_events,actual events
201908_nosql.pdf,http://www.wikidata.org/wiki/Q298207,trackers,P279,subclass of,http://www.themathcompany.com/cognition/fitness_accessories,fitness accessories
201908_nosql.pdf,http://www.wikidata.org/wiki/Q6500754,intern,P361,part of,http://www.themathcompany.com/cognition/group_team,group team
201908_nosql.pdf,http://www.wikidata.org/wiki/Q6500754,intern,P361,part of,http://www.themathcompany.com/cognition/their_team,their team
201908_nosql.pdf,http://www.wikidata.org/wiki/Q327065,TV screen,P461,opposite of,http://www.themathcompany.com/cognition/blank_wall,blank wall
201908_nosql.pdf,http://www.wikidata.org/wiki/Q42848,data,P2579,studied by,http://www.themathcompany.com/cognition/analysed,analysed
